Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Singles,Fingers,Detached Cells,Clusters
-5,12,0.2,1962,1962,0,0,0,0
-5,12,0.2,2771,2771,0,0,0,0
-5,12,0.2,2521,2521,0,1,0,0
-5,12,0.2,2122,2122,0,0,0,0
-5,12,0.2,3065,3065,0,0,0,0
-5,12,0.3,3320.5,3320.5,0,1,0,0
-5,12,0.3,2101,2101,0,1,0,0
-5,12,0.3,3077,3077,0,0,0,0
-5,12,0.3,2616,2616,0,1,0,0
-5,12,0.3,3323,3323,0,1,0,0
-5,12,0.3,2634,2634,0,0,0,0
-5,12,0.3,2555.5,2555.5,0,0,0,0
-5,12,0.3,2359,2359,0,1,0,0
-5,12,0.3,2384,2384,0,1,0,0
-5,12,0.3,2019,2019,0,1,0,0
-5,12,0.4,3054,3054,0,1,0,0
-5,12,0.4,2306,2306,0,0,0,0
-5,12,0.4,2525.5,2525.5,0,0,0,0
-5,12,0.4,2013,2013,0,0,0,0
-5,12,0.4,2641.5,2641.5,0,0,0,0
-5,12,0.4,1839,1839,0,0,0,0
-5,12,0.4,2403,2403,0,0,0,0
-5,12,0.4,2619.5,2619.5,0,2,0,0
-5,12,0.4,1937.5,1937.5,0,0,0,0
-5,12,0.4,2393.5,2393.5,0,0,0,0
-5,12,0.5,2918,2918,0,0,0,0
-5,12,0.5,1932.5,1932.5,0,0,0,0
-5,12,0.5,2024,2024,0,1,0,0
-5,12,0.5,1932.5,1932.5,0,0,0,0
-5,12,0.5,2487.5,2487.5,0,0,0,0
-5,12,0.5,2270,2270,0,0,0,0
-5,12,0.5,2202,2202,0,0,0,0
-5,12,0.5,2841.5,2841.5,0,2,0,0
-5,12,0.5,3504,3504,0,1,0,0
-5,12,0.5,2655,2655,0,0,0,0
-5,12,0.6,2970.5,2970.5,0,0,0,0
-5,12,0.6,2414.5,2414.5,0,0,0,0
-5,12,0.6,2259,2259,0,0,0,0
-5,12,0.6,2936.5,2936.5,0,1,0,0
-5,12,0.6,2399,2399,0,0,0,0
-5,12,0.6,2980.5,2980.5,0,0,0,0
-5,12,0.6,2310,2310,0,0,0,0
-5,12,0.6,2814,2814,0,1,0,0
-5,12,0.6,2167,2167,0,0,0,0
-5,12,0.6,2405,2405,0,0,0,0
-5,12,0.7,2781,2781,0,0,0,0
-5,12,0.7,2060.5,2060.5,0,0,0,0
-5,12,0.7,2861.5,2861.5,0,0,0,0
-5,12,0.7,2981.5,2981.5,0,1,0,0
-5,12,0.7,1977,1977,0,0,0,0
-5,12,0.7,2178,2178,0,0,0,0
-5,12,0.7,2705,2705,0,2,0,0
-5,12,0.7,2178.5,2178.5,0,0,0,0
-5,12,0.7,2326,2326,0,0,0,0
-5,12,0.7,2228,2228,0,0,0,0
-5,12,0.8,2273.5,2273.5,0,0,0,0
-5,12,0.8,2320,2320,0,0,0,0
-5,12,0.8,2513,2513,0,0,0,0
-5,12,0.8,2317,2317,0,0,0,0
-5,12,0.8,1931,1931,0,0,0,0
-5,12,0.8,1844,1844,0,0,0,0
-5,12,0.8,2452.5,2452.5,0,0,0,0
-5,12,0.8,2463,2463,0,1,0,0
-5,12,0.8,3340,3340,0,0,0,0
-5,12,0.8,2188.5,2188.5,0,2,0,0
-5,12,0.9,2364.5,2364.5,0,0,0,0
-5,12,0.9,1739,1739,0,0,0,0
-5,12,0.9,2043,2043,0,1,0,0
-5,12,0.9,1749,1749,0,1,0,0
-5,12,0.9,3332,3332,0,1,0,0
-5,12,0.9,1984.5,1984.5,0,0,0,0
-5,12,0.9,1891,1891,0,0,0,0
-5,12,0.9,2290,2290,0,0,0,0
-5,12,0.9,2304,2304,0,0,0,0
-5,12,0.9,2267,2267,0,0,0,0
-5,12,1,2210.5,2210.5,0,1,0,0
-5,12,1,1908.5,1908.5,0,1,0,0
-5,12,1,2614,2614,0,0,0,0
-5,12,1,2999.5,2999.5,0,0,0,0
-5,12,1,2478.5,2478.5,0,1,0,0
-5,12,1,2055,2055,0,1,0,0
-5,12,1,2939.5,2939.5,0,0,0,0
-5,12,1,1992,1992,0,1,0,0
-5,12,1,2396.5,2396.5,0,0,0,0
-5,12,1,2939,2939,0,0,0,0
-5,15,0,2679.5,2679.5,0,1,0,0
-5,15,0,2699.5,2699.5,0,0,0,0
-5,15,0,3138,3138,0,1,0,0
-5,15,0,2262,2262,0,1,0,0
-5,15,0,2557.5,2557.5,0,1,0,0
-5,15,0,2365,2365,0,0,0,0
-5,15,0,2964.5,2964.5,0,0,0,0
-5,15,0,2110,2110,0,1,0,0
-5,15,0,2806,2806,0,2,0,0
-5,15,0,3128.5,3128.5,0,1,0,0
-5,15,0.1,2369,2369,0,3,0,0
-5,15,0.1,1818.5,1818.5,0,0,0,0
-5,15,0.1,3451,3451,0,2,0,0
-5,15,0.1,2573,2573,0,1,0,0
-5,15,0.1,3128.5,3128.5,0,0,0,0
-5,15,0.1,3200,3200,0,1,0,0
-5,15,0.1,3840,3840,0,1,0,0
-5,15,0.1,2780,2780,0,1,0,0
-5,15,0.1,2266.5,2266.5,0,0,0,0
